"","cor.locs","Latitude","Longitude","cor.locs2"
"249","Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India.",NA,NA,"Cochin Univ Sci & Technol, Sch Marine Sci, Dept Marine Biol Microbiol & Biochem, Cochin 682016, Kerala, India"
"250",NA,NA,NA,NA
"251","Univ Sindh, Inst Biotechnol & Genet Engn, Jamshoro 76080, Pakistan.",NA,NA,"Univ Sindh, Inst Biotechnol & Genet Engn, Jamshoro 76080, Pakistan"
"252",NA,NA,NA,NA
"253","Michigan State Univ, Dept Plant Biol, E Lansing, MI 48824 USA.",NA,NA,"Michigan State Univ, Dept Plant Biol, E Lansing, MI 48824 USA"
"254",NA,NA,NA,NA
"255","Birbal Sahni Inst Palaeosci, Quaternary Div, 53 Univ Rd, Lucknow, Uttar Pradesh, India.",NA,NA,"Birbal Sahni Inst Palaeosci, Quaternary Div, 53 Univ Rd, Lucknow, Uttar Pradesh, India"
"256","Ctr Cellular & Mol Biol, Uppal Rd, Hyderabad 500007, Andhra Pradesh, India.",NA,NA,"Ctr Cellular & Mol Biol, Uppal Rd, Hyderabad 500007, Andhra Pradesh, India"
"257",NA,NA,NA,NA
"258","North Eastern Hill Univ, Dept Basic Sci & Social Sci, Shillong 793022, Meghalaya, India.",NA,NA,"North Eastern Hill Univ, Dept Basic Sci & Social Sci, Shillong 793022, Meghalaya, India"
"260",NA,NA,NA,NA
"262",NA,NA,NA,NA
"263",NA,NA,NA,NA
"278",NA,NA,NA,NA
"283",NA,NA,NA,NA
"284",NA,NA,NA,NA
"292",NA,NA,NA,NA
"299","Govt Arts Coll, Chennai, Tamil Nadu, India.",NA,NA,"Govt Arts Coll, Chennai, Tamil Nadu, India"
"301","Salim Ali Ctr Ornithol & Nat Hist, Coimbatore, Tamil Nadu, India.",NA,NA,"Salim Ali Ctr Ornithol & Nat Hist, Coimbatore, Tamil Nadu, India"
